Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-11-10,47.470001,48.200001,47.310001,48.080002,43.495434,693600,177
2014-11-11,48.029999,48.360001,47.82,48.209999,43.613056,301100,178
2014-11-12,47.98,48.459999,47.970001,48.029999,43.450211,578900,179
2014-11-13,48.209999,48.310001,47.59,47.740002,43.187874,423200,180
2014-11-14,47.810001,48.490002,47.740002,47.900002,43.332615,619600,181
2014-11-17,47.830002,47.970001,47.119999,47.209999,42.708401,850800,182
2014-11-18,47.27,47.389999,46.900002,47.009998,42.52747,1192100,183
2014-11-19,46.919998,48.549999,46.709999,48.400002,43.784924,1200300,184
2014-11-20,48.209999,48.369999,47.799999,48.009998,43.432106,668000,185
2014-11-21,48.439999,48.540001,48.150002,48.5,43.875401,885600,186
2014-11-24,48.610001,48.950001,48.400002,48.919998,44.255337,401400,187
2014-11-25,48.779999,49.080002,48.459999,48.5,43.875401,267100,188
2014-11-26,48.490002,48.799999,48.41,48.540001,43.911587,473700,189
2014-11-28,48.639999,48.860001,48.259998,48.360001,43.748753,249400,190
2014-12-01,48.34,48.439999,47.669998,47.669998,43.124542,535500,191
2014-12-02,47.740002,48.099998,47.560001,47.91,43.341656,658000,192
2014-12-03,47.880001,48.060001,47.75,47.939999,43.368782,418900,193
2014-12-04,47.82,48.119999,47.41,47.919998,43.3507,727000,194
2014-12-05,48.040001,48.040001,47.43,47.700001,43.151688,475900,195
2014-12-08,47.59,48.259998,47.59,48.080002,43.495434,945600,196
2014-12-09,47.580002,48.110001,47.220001,47.950001,43.377834,526900,197
2014-12-10,47.57,47.830002,46.82,46.91,42.437,643100,198
2014-12-11,47.209999,47.84,46.939999,47.169998,42.672218,615700,199
2014-12-12,46.68,47.009998,46.150002,46.150002,41.749477,554800,200
2014-12-15,46.349998,46.52,45.82,46.110001,41.713284,814400,201
2014-12-16,45.889999,46.450001,45.66,46.080002,41.686146,698300,202
2014-12-17,46.330002,46.98,45.82,46.93,42.455097,622700,203
2014-12-18,47.560001,47.650002,47.189999,47.57,43.034081,418700,204
2014-12-19,47.490002,48.029999,47.450001,47.889999,43.323555,2252600,205
2014-12-22,47.849998,48.450001,47.580002,48.139999,43.549717,750200,206
2014-12-23,48.150002,48.650002,48.029999,48.16,43.567818,504500,207
2014-12-24,48.240002,48.610001,47.939999,48.419998,43.803028,182000,208
2014-12-26,48.650002,48.950001,48.32,48.349998,43.739712,241300,209
2014-12-29,48.23,48.689999,48.02,48.099998,43.513542,360800,210
2014-12-30,47.939999,48.389999,47.830002,48.16,43.567818,255300,211
2014-12-31,48.220001,48.220001,47.41,47.439999,42.916466,564900,212
2015-01-02,47.689999,47.939999,46.93,47.689999,43.142639,477500,213
2015-01-05,47.43,47.59,46.799999,47.240002,42.735546,814100,214
2015-01-06,47.599998,49.549999,47.540001,48.610001,43.974911,1961000,215
2015-01-07,48.880001,49.790001,48.439999,49.720001,44.97905,1257700,216
2015-01-08,50.060001,51.27,49.68,51.220001,46.33604,1287600,217
2015-01-09,51.34,52.09,51.27,51.970001,47.014519,910700,218
2015-01-12,52.009998,52.490002,51.759998,51.939999,46.987396,500800,219
2015-01-13,52.700001,54.889999,52.419998,54.049999,48.896191,1687800,220
2015-01-14,53.630001,53.93,53.009998,53.700001,48.579571,856200,221
2015-01-15,53.73,53.73,52.669998,52.900002,47.855831,629200,222
2015-01-16,52.82,54.099998,52.540001,54.060001,48.905228,395700,223
2015-01-20,54.049999,54.470001,53.040001,53.700001,48.579571,815400,224
2015-01-21,53.419998,53.919998,52.869999,53.57,48.461952,651900,225
